ID,SUJETO,SES,EDAD,FECHA.IRM,LONGITUDINAL,TRANSVERSAL,FLASH,T2w,Fieldmap,Magnitude,EPI,dwi,EDAD.COND,FECHA.LAB,COND.LAB,FECHA.ORT,COND.ORT,FECHA.ROT,COND.ROT,EDAD.PER,FECHA.PER,CEREBRO ,NOTAS,SECUENCIAS
R001P07,R001,P07,7,20190927,1,0,1,1,1,1,4,2,,,,,,,,,,,,
R001P21,R001,P21,27,20191017,1,0,1,2,1,1,1,2,,,,,,,,,,,,
R002P07,R002,P07,7,20190927,1,0,1,1,1,1,2,2,,,,,,,,,,,,
R002P21,R002,P21,27,20191017,1,0,1,1,1,1,1,2,,,,,,,,,,,,
R002P45,R002,P45,47,20191107,1,0,1,1,4,4,1,2,,,,,,,,,,,,
R003P07,R003,P07,7,20190927,1,0,2,1,1,1,1,2,,,,,,,,,,,,
R003P45,R003,P45,47,20191107,1,0,1,1,0,0,3,2,,,,,,,,,,,,
R004P45,R004,P45,42,20191018,1,1,2,2,4,4,2,4,,,,,,,,,,,,
R004P90,R004,P90,90,20191128,1,0,1,1,1,1,1,0,,,,,,,,,,,,
R005P07,R005,P07,8,20191108,1,0,1,2,1,1,1,2,,,,,,,,,,,,
R005P21,R005,P21,22,20191122,1,0,1,1,1,1,1,0,,,,,,,,,,,,
R005P45,R005,P45,45,,1,0,1,1,5,5,1,2,,,,,,,,,,,,
R006P07,R006,P07,8,20191108,1,0,1,1,1,1,1,2,,,,,,,,,,,,
R006P21,R006,P21,22,20191122,1,0,1,1,1,1,1,0,,,,,,,,,,,,
R007P07,R007,P07,8,20191108,1,0,1,1,1,1,1,2,,,,,,,,,,,,
R007P21,R007,P21,22,20191122,1,0,1,1,1,1,1,0,,,,,,,,,,,,
R008P90,R008,P90,90,20191128,0,1,1,1,1,1,1,0,,,,,,,,,,,,
R009P90,R009,P90,90,20191128,0,1,1,1,1,1,1,0,,,,,,,,,,,,
R010P21,R010,P21,22,20191122,0,1,1,1,1,1,1,0,,,,,,,,,,,,
R011P07,R011,P07,8,20191108,0,1,0,0,0,0,0,0,,,,,,,,,,,,
R012P07,R012,P07,8,20201013,0,1,1,0,4,4,2,2,,,,,,,,,,,,
R013P07,R013,P07,8,20201013,1,0,2,0,1,1,2,2,,,,,,,,,,,,
R013P21,R013,P21,23,20201028,1,0,3,1,3,3,1,2,,,,,,,,,,,,
R013P45,R013,P45,45,20201119,1,0,1,1,3,3,1,2,P63,20201211,NO,20201207,SI,,NO,,,,Se perdieron en el disco duro datos de ORT y Laberinto ,
R013P90,R013,P90,91,20210105,1,0,1,1,3,3,1,2,P74,20201217,SI,20201217,SI,,NO,P96,20210110,SI,Repetici贸n de datos perdidos ,
R014P07,R014,P07,10,20201015,1,0,1,0,1,1,2,2,,,,,,,,,,,,
R014P21,R014,P21,23,20201028,1,0,3,1,5,5,1,2,,,,,,,,,,,,
R014P45,R014,P45,44,20201118,1,0,1,1,0,0,2,2,P63,20201211,NO,20201207,SI,,NO,,,,Se perdieron en el disco duro datos de ORT y Laberinto ,
R014P90,R014,P90,90,20210104,1,0,1,1,3,3,1,2,P74,20201217,SI,20201217,SI,,NO,P96,20210110,SI,Repetici贸n de datos perdidos ,
R015P07,R015,P07,10,20201015,1,0,2,0,0,0,2,2,,,,,,,,,,,,
R015P21,R015,P21,23,20201028,1,0,3,1,3,3,1,2,,,,,,,,,,,,
R015P45,R015,P45,44,20201118,1,0,1,1,3,3,1,2,P63,20201211,NO,20201207,SI,,NO,,,,Se perdieron en el disco duro datos de ORT y Laberinto ,
R015P90,R015,P90,90,20210104,1,0,1,1,3,3,1,2,P74,20201217,SI,20201217,SI,,NO,P96,20210110,SI,Repetici贸n de datos perdidos ,
R016P21,R016,P21,23,20201028,0,1,3,1,0,0,1,0,,,,,,,,,,,,
R016P45,R016,P45,45,20201119,1,0,1,1,5,5,1,2,P63,20201211,NO,20201207,SI,,NO,,,,Se perdieron en el disco duro datos de ORT y Laberinto ,
R016P90,R016,P90,91,20210105,1,0,1,1,3,3,1,2,P74,20201217,SI,20201217,SI,,NO,P96,20210110,SI,Repetici贸n de datos perdidos ,
R017P07,R017,P07,7,20201029,1,0,1,0,0,0,2,0,,,,,,,,,,,,
R017P21,R017,P21,22,20201113,1,0,1,1,1,1,1,2,P35,,NO,,NO,20201126,SI,,,,,
R017P45,R017,P45,47,20201208,1,0,2,1,2,2,1,2,P46,20201207,SI,20201207,SI,,,,,,,
R017P90,R017,P90,91,20210121,1,0,1,1,3,3,1,2,P89,20210119,,,,,,P93,20210123,SI,,
R018P07,R018,P07,7,20201029,1,0,1,1,1,1,2,2,,,,,,,,,,,,
R018P21,R018,P21,22,20201113,1,0,1,1,0,0,3,0,P35,,NO,,NO,20201126,SI,,,,,
R018P45,R018,P45,46,20201207,1,0,2,1,3,3,1,2,P46,20201207,SI,20201207,SI,20201208,SI,,,,,
R018P90,R018,P90,91,20210121,1,0,1,1,1,1,1,2,P89,20210121,SI,20210119,SI,20210119,SI,P93,20210123,SI,,
R019P07,R019,P07,7,20201029,1,0,3,1,2,2,2,2,,,,,,,,,,,,
R019P21,R019,P21,22,20201113,1,0,1,1,2,2,2,0,P35,,NO,,NO,20201126,SI,,,,,
R019P45,R019,P45,46,20201207,1,0,2,2,6,6,1,2,P46,20201207,SI,20201207,SI,,,,,,,
R019P90,R019,P90,90,20210121,1,0,1,1,3,3,1,2,P89,20210121,SI,20210119,SI,20210119,SI,P93,20210123,SI,,
R020P21,R020,P21,,N/A,0,0,0,0,0,0,0,0,P35,,NO,,NO,20201126,SI,,,,,
R020P45,R020,P45,47,20201208,0,1,1,1,4,4,1,2,P46,20201207,SI,20201207,SI,,,,,,,
R020P90,R020,P90,90,20210121,1,0,1,1,3,3,1,2,P89,20210121,SI,20210119,SI,20210119,SI,P93,20210123,SI,,
R021P21,R021,P21,,N/A,0,0,0,0,0,0,0,0,P35,,NO,,NO,20201126,SI,,,,,
R021P45,R021,P45,,N/A,0,0,0,0,0,0,0,0,P46,20201207,SI,20201207,SI,,,,,,,
R021P90,R021,P90,90,20210120,0,1,3,1,3,3,1,2,P89,20210121,SI,20210119,SI,20210119,SI,P93,20210123,SI,,